Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2010/1/4,1,3289.75,3295.279,3243.319,3243.76,-0.010185
1,2010/1/5,2,3254.468,3290.512,3221.462,3282.179,0.011844
1,2010/1/6,3,3277.517,3295.868,3253.044,3254.215,-0.00852
1,2010/1/7,4,3253.991,3268.819,3176.707,3192.776,-0.01888
1,2010/1/8,5,3177.259,3198.92,3149.017,3195.997,0.001009
1,2010/1/11,1,3301.611,3306.751,3197.328,3212.75,0.005242
1,2010/1/12,2,3205.705,3275.202,3180.085,3273.966,0.019054
1,2010/1/13,3,3204.976,3232.818,3165.485,3172.658,-0.030944
1,2010/1/14,4,3183.381,3219.016,3165.596,3215.55,0.013519
1,2010/1/15,5,3217.19,3241.815,3197.221,3224.152,0.002675
1,2010/1/18,1,3213.637,3238.242,3202.207,3237.098,0.004015
1,2010/1/19,2,3242.216,3268.806,3236.839,3246.874,0.00302
1,2010/1/20,3,3252.037,3255.128,3148.334,3151.85,-0.029266
1,2010/1/21,4,3154.189,3176.147,3126.902,3158.863,0.002225
1,2010/1/22,5,3118.724,3147.829,3062.629,3128.588,-0.009584
1,2010/1/25,1,3103.32,3136.999,3092.926,3094.411,-0.010924
1,2010/1/26,2,3094.848,3107.198,3001.956,3019.394,-0.024243
1,2010/1/27,3,3020.54,3028.647,2972.627,2986.607,-0.010859
1,2010/1/28,4,2985.214,3006.039,2963.891,2994.143,0.002523
1,2010/1/29,5,2979.743,3024.848,2968.453,2989.292,-0.00162
1,2010/2/1,1,2981.374,2981.374,2912.887,2941.36,-0.016035
1,2010/2/2,2,2955.753,2990.748,2930.559,2934.713,-0.00226
1,2010/2/3,3,2945.034,3005.131,2890.021,3003.835,0.023553
1,2010/2/4,4,2983.05,3015.126,2968.68,2995.308,-0.002839
1,2010/2/5,5,2936.197,2959.233,2918.909,2939.402,-0.018665
1,2010/2/8,1,2936.452,2954.266,2922.187,2935.174,-0.001438
1,2010/2/9,2,2932.09,2957.474,2929.21,2948.842,0.004657
1,2010/2/10,3,2967.138,2983.179,2958.217,2982.5,0.011414
1,2010/2/11,4,2985.082,3001.636,2976.079,2985.499,0.001006
1,2010/2/12,5,2996.088,3018.858,2993.437,3018.133,0.010931
1,2010/2/22,1,3016.703,3026.659,3002.811,3003.398,-0.004882
1,2010/2/23,2,2998.907,2998.907,2938.753,2982.575,-0.006933
1,2010/2/24,3,2964.984,3023.739,2955.069,3022.177,0.013278
1,2010/2/25,4,3026.656,3063.004,3022.373,3060.618,0.01272
1,2010/2/26,5,3053.498,3067.525,3041.689,3051.943,-0.002834
1,2010/3/1,1,3057.006,3093.095,3054.554,3087.842,0.011763
1,2010/3/2,2,3089.706,3095.992,3060.956,3073.108,-0.004772
1,2010/3/3,3,3074.099,3098.456,3061.467,3097.005,0.007776
1,2010/3/4,4,3098.069,3102.398,3016.215,3023.373,-0.023775
1,2010/3/5,5,3026.639,3044.165,3011.088,3031.065,0.002544
1,2010/3/8,1,3036.415,3058.832,3030.905,3053.232,0.007313
1,2010/3/9,2,3053.26,3084.85,3028.69,3069.141,0.005211
1,2010/3/10,3,3067.15,3085.994,3034.739,3048.927,-0.006586
