MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9710	1992/1/30	0.0098	0.0068	-0.000193	-0.003945	0.001878	0.001132
P9710	1992/1/31	0.0138	0.0098	0.007597	0.006065	-0.003275	-0.002141
P9710	1992/2/1	0.0058	0.0058	0.011516	0.009544	-0.006743	-0.006776
P9710	1992/2/2	0.0068	0.0068	0.002621	0.002467	0.004255	0.004255
P9710	1992/2/3	0.0058	0.0068	0.006923	0.007519	-0.009798	-0.009623
P9710	1992/2/7	0.0058	0.0068	0.006937	0.00753	-0.00979	-0.009616
P9710	1992/2/10	-0.0072	-0.0032	-0.004041	-0.005285	0.000792	-0.004037
P9710	1992/2/11	0.0018	0.0038	-0.006088	0.000149	-0.00146	-0.004319
P9710	1992/2/12	0.0048	0.0038	0.001231	0.001828	-0.002981	-0.002115
P9710	1992/2/13	0.0008	0.0018	0.004791	0.002205	0.000774	-0.001415
P9710	1992/2/14	-0.0052	-0.0002	-0.003634	-0.000772	0.005866	0.003958
P9710	1992/2/17	-0.0082	-0.0062	-0.006171	-0.009372	0.000409	-0.00039
P9710	1992/2/18	0.0108	0.0108	-0.08792	-0.001587	-0.100704	-0.0516
P9710	1992/2/19	0.0048	0.0068	-0.022892	-0.001404	-0.016815	-0.016345
P9710	1992/2/20	0.0158	0.0138	-0.003703	-0.039076	-0.027035	-0.017458
P9710	1992/2/21	0.0378	0.0348	0.043146	-0.000654	0.210064	0.225239
P9710	1992/2/24	-0.0102	-0.0082	-0.006728	-0.001725	-0.015559	-0.007923
P9710	1992/2/25	-0.0092	-0.0062	-0.007881	-0.027768	-0.056393	-0.053545
P9710	1992/2/26	-0.0112	-0.0102	-0.015999	-0.036938	-0.03177	-0.027592
P9710	1992/2/27	0.0208	0.0158	0.01076	0.005132	0.01432	0.022447
P9710	1992/2/28	0.0878	0.1228	-0.802634	-0.015563	-0.008019	-0.005836
P9710	1992/3/2	0.0118	0.0168	-0.024771	-0.013481	-0.026125	-0.025749
P9710	1992/3/3	-0.0042	-0.0032	-0.005052	-0.013216	-0.027483	-0.02197
P9710	1992/3/4	-0.0042	-0.0062	-0.001476	-0.019921	-0.007383	-0.001959
P9710	1992/3/5	0.0058	0.0058	0.004038	-0.009118	-0.011368	-0.01011
P9710	1992/3/6	-0.0002	0.0008	0.016134	-0.005897	-0.00716	-0.003008
P9710	1992/3/9	-0.0002	-0.0002	0.004244	-0.008982	-0.015613	-0.012004
P9710	1992/3/10	0.0028	0.0038	0.003663	-0.004323	-0.011884	-0.008534
P9710	1992/3/11	0.0018	0.0008	-0.000541	-0.008483	-0.009393	-0.005865
P9710	1992/3/12	0.0028	0.0038	-0.007205	-0.001447	-0.00641	-0.009241
P9710	1992/3/13	-0.0012	-0.0002	-0.00296	0.006145	0.001053	-0.001472
P9710	1992/3/16	0.0078	0.0088	0.001602	0.012023	-0.005083	-0.008584
P9710	1992/3/17	0.0008	0.0038	-0.010151	0.004338	-0.008484	-0.011936
P9710	1992/3/18	-0.0002	0.0018	0.0022	0.004418	-0.014516	-0.018709
P9710	1992/3/19	-0.0022	-0.0012	-0.002968	0.003826	-0.007513	-0.010386
P9710	1992/3/20	0.0138	0.0078	0.001775	0.007484	-0.007387	-0.010611
P9710	1992/3/23	0.0048	0.0038	0.002445	0.004926	-0.004607	-0.00584
P9710	1992/3/24	0.0008	-0.0012	-0.003386	0.000397	-0.005769	-0.005478
P9710	1992/3/25	0.0198	0.0138	0.013085	0.006851	0.011085	0.011796
P9710	1992/3/26	0.0228	0.0198	0.011495	0.015246	-0.008366	-0.012556
P9710	1992/3/27	0.1098	0.1618	-0.011634	0.00557	0.002963	-0.00184
P9710	1992/3/30	0.1348	0.2118	-0.004109	0.263208	-0.030481	-0.026006
P9710	1992/3/31	0.1678	0.2378	0.014357	0.337784	-0.012752	-0.018214
P9710	1992/4/1	0.0258	0.0368	-0.023509	0.065201	-0.004544	-0.013956
P9710	1992/4/2	-0.0042	-0.0012	0.001493	0.000541	-0.004645	-0.010099
P9710	1992/4/3	0.0028	0.0068	0.017562	0.014466	-0.024176	-0.023499
P9710	1992/4/6	0.0258	0.0228	0.032298	0.028176	-0.033982	-0.028991
P9710	1992/4/7	0.0198	0.0188	0.040226	0.024151	-0.01635	-0.012294
P9710	1992/4/8	0.0158	0.0118	0.022916	0.008031	0.00349	-0.000784
P9710	1992/4/9	0.0128	0.0138	-0.009042	0.016161	-0.015734	-0.010275
P9710	1992/4/10	0.0238	0.0208	0.006105	0.008731	-0.016723	-0.005669
P9710	1992/4/13	0.4038	0.3178	-5.679977	-6.700582	0.023065	0.014861
P9710	1992/4/14	0.0228	0.0218	-0.002857	-0.026349	-0.008793	-0.009475
P9710	1992/4/15	-0.0322	-0.0282	-0.014607	-0.013695	0.044563	0.033606
P9710	1992/4/16	0.0298	0.0218	0.012127	0.014165	0.010656	0.019858
P9710	1992/4/17	-0.0092	-0.0082	0.004366	0.002398	0.018329	0.022815
P9710	1992/4/20	-0.0202	-0.0222	0.071146	0.053892	0.027387	0.033168
P9710	1992/4/21	-0.0002	0.0038	0.022183	0.013633	0.022722	0.031242
P9710	1992/4/22	0.0348	0.0348	-0.003557	0.028206	-0.017166	0.002339
P9710	1992/4/23	0.0498	0.0578	0.036354	0.044622	-0.009305	0.002784
P9710	1992/4/24	0.0188	0.0168	-0.007807	-0.004454	0.039685	0.059008
P9710	1992/4/27	0.1018	0.0578	0.002575	0.010176	-0.01788	-0.029514
P9710	1992/4/28	0.2128	0.3428	-0.008963	0.006468	-0.020064	-0.02248
P9710	1992/4/29	0.0238	0.0268	0.038523	0.014868	0.007067	0.013055
P9710	1992/4/30	0.0248	0.0158	0.034111	0.026537	-0.025654	-0.014633
P9710	1992/5/3	0.0408	0.0338	0.051847	0.026392	0.006725	0.009537
P9710	1992/5/4	0.0298	0.0248	0.037262	0.032726	-0.051413	-0.043502
P9710	1992/5/5	0.0398	0.0268	0.030597	-0.000239	-0.089748	-0.064286
P9710	1992/5/6	0.1488	0.2408	-0.033317	0.003827	0.039705	0.029306
P9710	1992/5/7	-0.0032	0.0038	-0.239243	-0.191357	0.021894	0.016084
P9710	1992/5/8	0.0048	0.0098	-0.000719	0.009117	-0.004033	-0.000262
P9710	1992/5/11	0.0338	0.0348	-0.010684	-0.010166	-0.051271	-0.049735
