time,datang
2008/01/02,0
2008/01/03,2.2152
2008/01/04,0.1548
2008/01/07,1.8547
2008/01/08,-0.1517
2008/01/09,1.2158
2008/01/10,-1.0511
2008/01/11,-2.9337
2008/01/14,-0.3648
2008/01/15,2.5105
2008/01/16,-2.602
2008/01/17,-3.5097
2008/01/18,2.4973
2008/01/21,-1.1653
2008/01/22,-4.9839
2008/01/23,-1.7484
2008/01/24,2.3536
2008/01/25,0.2243
2008/01/28,-4.9804
2008/01/29,-4.7703
2008/01/30,0.0618
2008/01/31,-4.6354
2008/02/01,-4.5366
2008/02/04,5.0238
2008/02/05,2.7796
2008/02/13,0.3145
2008/02/14,1.1285
2008/02/15,1.2399
2008/02/18,1.8983
2008/02/19,0.1803
2008/02/20,-2.9394
2008/02/21,5.0062
2008/02/22,2.1189
2008/02/25,-5.0144
2008/02/26,-0.1214
2008/02/27,4.7995
2008/02/28,-0.9855
2008/02/29,-1.0539
2008/03/03,0
2008/03/04,5.0296
2008/03/05,-2.6479
2008/03/06,0.2315
2008/03/07,-1.963
2008/03/10,-4.7114
2008/03/11,0.9889
2008/03/12,-1.5912
2008/03/13,3.8557
2008/03/14,-2.3952
2008/03/17,-4.9693
2008/03/18,-4.9709
2008/03/19,0.6793
2008/03/20,0
2008/03/21,-4.9933
2008/03/24,-4.9716
2008/03/25,-4.1106
2008/03/26,-4.9883
2008/03/27,-5.0041
2008/03/28,-2.5043
2008/03/31,-0.0886
2008/07/01,-3.9801
2008/07/02,1.8998
2008/07/03,5.0847
2008/07/04,1.2903
2008/07/07,4.9363
2008/07/08,0.3035
2008/07/09,3.4796
2008/07/10,-2.4854
2008/07/11,2.8486
2008/07/14,0.8746
2008/07/15,-5.0578
2008/07/16,-4.2618
2008/07/17,-3.1797
2008/07/18,4.9261
2008/07/21,3.4429
2008/07/22,0.1513
2008/07/23,-0.4532
2008/07/24,1.3657
2008/07/25,4.9401
2008/07/28,-0.7133
2008/07/29,-1.0057
2008/07/30,0.7257
2008/07/31,-1.8732
2008/08/01,1.3216
2008/08/04,-3.6232
2008/08/05,0
2008/08/06,-2.8571
2008/08/07,1.0836
2008/08/08,-5.0536
2008/08/11,-5
2008/08/12,-4.9236
