"","Date","Open","High","Low","Close","Volume"
"1",2011-01-04,2825.329102,2855.395996,2810.10791,2852.647949,110000
"2",2011-01-05,2833.115967,2850.49292,2824.295898,2839.220947,104400
"3",2011-01-06,2838.435059,2853.875,2816.950928,2824.197021,84800
"4",2011-01-07,2820.665039,2868.004883,2807.870117,2838.801025,113200
"5",2011-01-10,2832.62207,2847.35791,2786.861084,2791.809082,90800
"6",2011-01-11,2783.476074,2810.761963,2770.337891,2804.047119,80600
"7",2011-01-12,2811.784912,2828.468018,2788.129883,2821.304932,79200
"8",2011-01-13,2830.533936,2837.525879,2810.874023,2827.711914,74800
"9",2011-01-14,2817.048096,2817.048096,2780.437988,2791.343994,76800
"10",2011-01-17,2772.449951,2780.941895,2698.781006,2706.659912,92600
"11",2011-01-18,2696.146973,2715.406006,2683.366943,2708.979004,60400
"12",2011-01-19,2707.815918,2759.602051,2700.811035,2758.096924,78400
"13",2011-01-20,2752.799072,2752.799072,2676.128906,2677.6521,86000
"14",2011-01-21,2668.677002,2746.177979,2667.285889,2715.293945,95600
"15",2011-01-24,2716.523926,2736.108887,2690.6521,2695.718994,88000
"16",2011-01-25,2691.693115,2701.043945,2661.447998,2677.431885,69400
"17",2011-01-26,2677.172119,2710.738037,2676.769043,2708.813965,60800
"18",2011-01-27,2690.824951,2753.000977,2677.209961,2749.149902,105600
"19",2011-01-28,2741.313965,2759.439941,2733.291016,2752.75,85400
"20",2011-01-31,2751.5271,2790.920898,2748.538086,2790.694092,91600
"21",2011-02-01,2795.071045,2805.049072,2785.295898,2798.959961,73400
"22",2011-02-09,2778.700928,2804.208008,2764.865967,2774.064941,87200
"23",2011-02-10,2769.645996,2819.062988,2760.175049,2818.163086,98000
"24",2011-02-11,2815.118896,2835.410889,2807.60498,2827.327881,107800
"25",2011-02-14,2828.571045,2906.26001,2828.571045,2899.134033,154200
"26",2011-02-15,2900.427002,2934.467041,2892.636963,2899.237061,152400
"27",2011-02-16,2893.681885,2924.187988,2882.549072,2923.895996,127800
"28",2011-02-17,2929.254883,2939.283936,2905.031982,2926.964111,130400
"29",2011-02-18,2924.22998,2924.22998,2890.261963,2899.791992,113800
"30",2011-02-21,2886.540039,2932.820068,2884.190918,2932.246094,118800
"31",2011-02-22,2941.318115,2944.413086,2851.620117,2855.516113,153000
